"CHRIST (Deemed to be University), Bangalore
SCHOOL OF ENGINEERING AND TECHNOLOGY 
DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING
List of Research Papers Published by Existing Permanent Faculty in Indian and Foreign Journals in the Last Two Years (JANUARY 2024-DECEMBER 2025)"												
S.No	Title	Type of Publication	Author/s	Journal Name	ISSN/E-ISSN	Volume No	"Page Nos
(from - to)"	"Publication Date
(Month and Year)"	SJR / Imact Factor	"Scopus / WOS Indexed
(Y/N)"	"doi
(Digital Object Identifier)"	"Full Paper Softcopy Link
(google drive link)"
1	Security Analysis for a Revocable Multi-Authority ABE- Attribute-Based Mechanism	Journal Article	ADDAPALLI V N KRISHNA,	SSRG International Journal of Electronics and Communication Engineering (IJECE)	2348-8549	11	24-30	Apr 2, 2024 12:00 AM		Yes	10.14445/23488549/IJECE-V11I3P103	https://drive.google.com/file/d/1IdOffeINGpZy2C75K38mhVUTHi7xkr1Y/view?usp=drive_link
2	Deep Learning Based Model for Computing Percentage of Fake in User Reviews Using Topic Modelling Techniques	Journal Article	SANJAY K S,AJIT DANTI,T. Snehitha Reddy,Vijay Nath	e-Prime - Advances in Electrical Engineering, Electronics and Energy	2772-6711	8	1-9	Mar 9, 2024 12:00 AM	1.53	Yes	chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://pdf.sciencedirectassets.com/780488/AIP/1	https://drive.google.com/file/d/1T7YNpMqq1XjzYdAlnGh7ppbGuiPUtYmz/view?usp=sharing
3	3TFL-XLnet-CP: A Novel Transformer-Based Crop Yield Prediction Framework with Weighted Loss Based 3-Tier Feature Learning Model	Journal Article	ANOOP G L,Nandini C,Naresh E	SN Computer Science	2662-995X	6	-	Mar 12, 2025 12:00 AM		Yes	10.1007/s42979-025-03778-9	https://drive.google.com/file/d/1b46AQC-fVc59lGHZvXov3rD3NO0Vye6H/view?usp=drive_link
4	Effective Landmark Regression Using Attention Based-HRNet for Satellite Pose Estimation	Journal Article	Abraham Paul,ANOOP G L,GANESH KUMAR R,Aryan Singh,Sri Aditya Deevi,Ravikumar Lagisetty	International Journal of Electrical, Electronics and Data Communication (IJEEDC)	2320-2084	12	29-35	May 3, 2025 12:00 AM		No	https://doi.org/10.36227/techrxiv.174119306.61309824/v1	https://drive.google.com/file/d/1Fz9dUOPUIYJ5C57Vz_qQyy8XsGiCrel4/view?usp=drive_link
5	MRI And Environmental Data Fusion For Accurate Alzheimer?s Stage Identification Via Advanced Learning Models	Journal Article	Anusha K L,Shankara Gowda S R,Keerti Patil,Pooja Nayak S,ANOOP G L,Saritha D,Anusha Preetham,Ramya R S	International Journal of Environmental Sciences	2229-7359	11	978-987	Aug 15, 2025 12:00 AM		Yes	10.64252/frhr5a59	https://drive.google.com/file/d/15HaMgW2nfm3QHnZSnROyxLzY387Ce5f9/view?usp=drive_link
6	Deep Learning for Early Detection of Tomato Leaf Diseases: A ResNet-18 Approach for Sustainable Agriculture	Journal Article	ASHA M S,Yogish H K	International Journal of Advanced Computer Science and Applications,	2156-5570	15,	876-883	Jan 30, 2024 12:00 AM	0.9	Yes	10.14569/IJACSA.2024.0150188	https://drive.google.com/file/d/1GzmKGd2IYfFz68CeKAf4ju1hPXONVCy4/view?usp=drive_link
7	Deep learning-based semantic segmentation of tomato leaf diseases using U-Net and classification of blight using ResNet	Journal Article	ASHA M S,Yogish H K	International Journal of Electrical and Computer Engineering	2088-8708	15	3373-3381	Jun 10, 2025 12:00 AM		No	http://doi.org/10.11591/ijece.v15i3.pp3373-3381	https://drive.google.com/file/d/1NeUiFpIJcybMEqLPNIICu6FCBlZnNf6B/view?usp=drive_link
